iso3c	year	gdpc	gdpc_source
AUT	1994	25646.7006591684	wdi
AUT	1995	30325.8495818396	wdi
AUT	1996	29809.0767730821	wdi
AUT	1999	27174.2971559775	wdi
AUT	2002	26401.7454564357	wdi
AUT	2004	36821.5214680093	wdi
AUT	2006	40635.2818159724	wdi
AUT	2008	51708.7657541758	wdi
AUT	2009	47963.1794023217	wdi
AUT	2013	50716.7087062864	wdi
AUT	2014	51717.4959405515	wdi
AUT	2017	47431.630607607	wdi
AUT	2019	55043.517426369675	wdi-imputed
BEL	1978	10289.7683522401	wdi
BEL	1979	11810.6158754725	wdi
BEL	1981	10622.8024610384	wdi
BEL	1984	8457.26877482878	wdi
BEL	1985	8750.8185469633	wdi
BEL	1987	15135.8522679087	wdi
BEL	1989	16525.0617844916	wdi
BEL	1991	21041.6606401567	wdi
BEL	1994	24208.5548408211	wdi
BEL	1995	28413.8264387368	wdi
BEL	1999	25244.2750474813	wdi
BEL	2003	30587.6684093796	wdi
BEL	2004	35364.3753314368	wdi
BEL	2007	44262.8960009954	wdi
BEL	2009	44583.5448070814	wdi
BEL	2010	44141.8781415734	wdi
BEL	2014	47700.5403601178	wdi
BEL	2019	50376.24073161305	wdi-imputed
BGR	2005	3869.52945510511	wdi
BGR	2007	5885.94925197955	wdi
BGR	2009	6969.55855668357	wdi
BGR	2013	7646.83986554542	wdi
BGR	2014	7864.76067225524	wdi
BGR	2017	8228.0115697265	wdi
BGR	2019	9272.629303608484	wdi-imputed
CYP	2001	14821.4455185468	wdi
CYP	2004	23792.617929064	wdi
CYP	2006	26729.3267457419	wdi
CYP	2009	32105.867479829	wdi
CYP	2011	32233.6433858793	wdi
CYP	2014	27407.152861781098	wdi
CYP	2016	24019.1378679236	wdi
CYP	2019	28639.35892363544	wdi-imputed
CZE	2002	8032.89661245767	wdi
CZE	2004	11685.8872407234	wdi
CZE	2006	15183.6360541375	wdi
CZE	2009	19741.5976279826	wdi
CZE	2010	19808.0710912518	wdi
CZE	2013	19916.0193873722	wdi
CZE	2014	19744.5586092159	wdi
CZE	2017	20379.8960396417	wdi
CZE	2019	24502.040665279208	wdi-imputed
DEU	1976	6634.85689909309	wdi
DEU	1979	11281.0233217764	wdi
DEU	1980	12138.3081048011	wdi
DEU	1983	9864.3449403866	wdi
DEU	1984	9313.16941419653	wdi
DEU	1987	16677.5107867621	wdi
DEU	1989	17764.3764392283	wdi
DEU	1990	22303.9613327585	wdi
DEU	1994	27076.60675014	wdi
DEU	1998	27289.0593603191	wdi
DEU	1999	26725.9152182573	wdi
DEU	2002	25077.7290759602	wdi
DEU	2004	34044.0536341248	wdi
DEU	2005	34507.3688142332	wdi
DEU	2009	41485.9016495139	wdi
DEU	2013	46285.7640688407	wdi
DEU	2014	47959.9932737599	wdi
DEU	2017	44240.0441099604	wdi
DEU	2019	50457.3261266135	wdi-imputed
DNK	1977	9783.85202151322	wdi
DNK	1979	13751.998948016	wdi
DNK	1981	12081.8010496077	wdi
DNK	1984	11562.919077848701	wdi
DNK	1987	21340.7278625524	wdi
DNK	1988	22527.0467265631	wdi
DNK	1989	21901.054745944	wdi
DNK	1990	26891.4464489571	wdi
DNK	1994	29995.5796235479	wdi
DNK	1998	33368.142415092	wdi
DNK	1999	33440.7948054204	wdi
DNK	2001	30751.654348268	wdi
DNK	2004	46511.5983324305	wdi
DNK	2005	48799.8256011275	wdi
DNK	2007	58487.0549677696	wdi
DNK	2009	58163.2768762815	wdi
DNK	2011	61753.647131977	wdi
DNK	2014	62548.9847332908	wdi
DNK	2015	53254.8560039631	wdi
DNK	2019	64982.44461445125	wdi-imputed
ESP	1982	5159.70863304073	wdi
ESP	1986	6513.50327963098	wdi
ESP	1987	8239.6138155813	wdi
ESP	1989	10681.9712029257	wdi
ESP	1993	13339.9085669964	wdi
ESP	1994	13415.287013608	wdi
ESP	1996	16109.0843985284	wdi
ESP	1999	15715.3322713275	wdi
ESP	2000	14713.0657111519	wdi
ESP	2004	24861.2827964413	wdi
ESP	2008	35366.2596011983	wdi
ESP	2009	32042.4740786617	wdi
ESP	2011	31636.4463142558	wdi
ESP	2014	29461.5503337389	wdi
ESP	2015	25732.0183647454	wdi
ESP	2016	26505.6243284919	wdi
ESP	2019	32366.573116224023	wdi-imputed
EST	2003	7206.16648010912	wdi
EST	2004	8912.99219516932	wdi
EST	2007	16741.9391245668	wdi
EST	2009	14794.9707926449	wdi
EST	2011	17624.0441399335	wdi
EST	2014	20367.1026566799	wdi
EST	2015	17522.230186252	wdi
EST	2019	27030.433659644317	wdi-imputed
FIN	1991	25484.7392935746	wdi
FIN	1995	26271.5998141691	wdi
FIN	1996	25783.4504878611	wdi
FIN	1999	26177.3479836441	wdi
FIN	2003	32855.1326287803	wdi
FIN	2004	37702.8453762641	wdi
FIN	2007	48414.8450929722	wdi
FIN	2009	47293.9928335042	wdi
FIN	2011	51081.9976703127	wdi
FIN	2014	50260.2998588958	wdi
FIN	2015	42811.2129936435	wdi
FIN	2019	53529.58940108894	wdi-imputed
FRA	1978	9264.77783385334	wdi
FRA	1979	11179.6312730408	wdi
FRA	1981	11104.9777323235	wdi
FRA	1984	9419.69764827399	wdi
FRA	1986	13540.2470824157	wdi
FRA	1988	17679.996995809	wdi
FRA	1989	17694.3053541732	wdi
FRA	1993	22380.1039619355	wdi
FRA	1994	23496.5233222666	wdi
FRA	1997	24228.9423508964	wdi
FRA	1999	24673.1989691744	wdi
FRA	2002	24177.3351674642	wdi
FRA	2004	33741.2651469175	wdi
FRA	2007	41508.4339850416	wdi
FRA	2009	41575.4187483737	wdi
FRA	2012	40874.7035053457	wdi
FRA	2014	43008.6473817107	wdi
FRA	2017	38679.1271482419	wdi
FRA	2019	43695.14975945123	wdi-imputed
GBR	1979	7804.76208051155	wdi
GBR	1983	8691.51881306514	wdi
GBR	1984	8179.19444064991	wdi
GBR	1987	13118.586534629	wdi
GBR	1989	16239.2821960944	wdi
GBR	1992	20487.1707852878	wdi
GBR	1994	19709.2380983653	wdi
GBR	1997	26734.5626114537	wdi
GBR	1999	28669.539690801	wdi
GBR	2001	27744.5064592461	wdi
GBR	2004	40290.3139710116	wdi
GBR	2005	42030.2866138136	wdi
GBR	2009	38713.1374283353	wdi
GBR	2010	39435.8399018505	wdi
GBR	2014	47417.6350484639	wdi
GBR	2015	44966.1019252665	wdi
GBR	2017	40361.4173832159	wdi
GBR	2019	45905.79252108102	wdi-imputed
GRC	1977	3886.37425270915	wdi
GRC	1981	5380.26768284354	wdi
GRC	1984	4852.5657284733	wdi
GRC	1985	4813.71117991069	wdi
GRC	1989	7846.67816401445	wdi
GRC	1990	9600.18512965969	wdi
GRC	1993	10401.9829861914	wdi
GRC	1994	11091.2838606376	wdi
GRC	1996	13749.1151520996	wdi
GRC	1999	13245.1894634121	wdi
GRC	2000	12042.9537310995	wdi
GRC	2004	21955.1040911595	wdi
GRC	2007	28827.3263555224	wdi
GRC	2009	29710.9702950284	wdi
GRC	2012	22242.681934771	wdi
GRC	2014	21760.9797994918	wdi
GRC	2015	18167.7737169162	wdi
GRC	2019	21540.927341584127	wdi-imputed
HRV	2011	14566.6297259084	wdi
HRV	2013	13642.19778327	wdi
HRV	2014	13600.1861816146	wdi
HRV	2015	11782.9025486428	wdi
HRV	2016	12360.47325706	wdi
HRV	2019	15742.368181990758	wdi-imputed
HUN	2002	6655.33300865319	wdi
HUN	2004	10285.7936270098	wdi
HUN	2006	11475.8227057093	wdi
HUN	2009	13046.4810081848	wdi
HUN	2010	13113.5259617277	wdi
HUN	2014	14246.109801447	wdi
HUN	2018	16161.9805101918	wdi
HUN	2019	17432.636699241917	wdi-imputed
IRL	1977	3431.1775107132	wdi
IRL	1979	5436.46487499609	wdi
IRL	1981	5993.32293639701	wdi
IRL	1982	6168.01634742633	wdi
IRL	1984	5698.84416121523	wdi
IRL	1987	9593.38829452966	wdi
IRL	1989	11189.2005891826	wdi
IRL	1992	15733.2039761324	wdi
IRL	1994	15921.9748437244	wdi
IRL	1997	22542.8107714729	wdi
IRL	1999	26284.3419750136	wdi
IRL	2002	32541.0986016666	wdi
IRL	2004	47631.0106571223	wdi
IRL	2007	61359.7413812502	wdi
IRL	2009	52105.1524837739	wdi
IRL	2011	51848.9097301621	wdi
IRL	2014	55492.982676213	wdi
IRL	2016	63197.0823744196	wdi
IRL	2019	86673.36913795923	wdi-imputed
ITA	1979	6990.28579430044	wdi
ITA	1983	7832.57538904233	wdi
ITA	1984	7739.71527972218	wdi
ITA	1987	14234.7286486045	wdi
ITA	1989	16386.662217067	wdi
ITA	1992	23243.4745415513	wdi
ITA	1994	19337.6309059755	wdi
ITA	1996	23081.6046757702	wdi
ITA	1999	21997.6243155313	wdi
ITA	2001	20483.2159949974	wdi
ITA	2004	31259.7164954309	wdi
ITA	2006	33501.6581673044	wdi
ITA	2008	40778.3427367209	wdi
ITA	2009	37079.7586704546	wdi
ITA	2013	35549.9746972954	wdi
ITA	2014	35518.4152916749	wdi
ITA	2018	34483.2039992043	wdi
ITA	2019	36471.78171977772	wdi-imputed
LTU	2000	3297.35470084107	wdi
LTU	2004	6706.96699843928	wdi
LTU	2008	14961.5681759187	wdi
LTU	2009	11837.3910271086	wdi
LTU	2012	14333.9493428112	wdi
LTU	2014	16534.4819837926	wdi
LTU	2016	14999.4796391329	wdi
LTU	2019	22395.940471951126	wdi-imputed
LUX	1979	15740.2874970898	wdi
LUX	1984	12554.4171841488	wdi
LUX	1989	27556.3635885832	wdi
LUX	1994	45481.8922019757	wdi
LUX	1999	51654.4027951819	wdi
LUX	2004	75716.3510789884	wdi
LUX	2009	103198.669312625	wdi
LUX	2013	113625.13289956	wdi
LUX	2014	118823.648368575	wdi
LUX	2018	116639.88804711	wdi
LUX	2019	125871.52463794548	wdi-imputed
LVA	2002	4125.21003421908	wdi
LVA	2004	6343.14352575203	wdi
LVA	2006	9663.37345136659	wdi
LVA	2009	12257.2165683051	wdi
LVA	2010	11344.6933695837	wdi
LVA	2011	13713.8553053545	wdi
LVA	2014	15740.3267490719	wdi
LVA	2018	17860.6171980214	wdi
LVA	2019	21575.473360077158	wdi-imputed
MLT	2003	13689.989987991	wdi
MLT	2004	15109.0549683959	wdi
MLT	2008	21928.7006740562	wdi
MLT	2009	20675.5825862064	wdi
MLT	2013	23838.6143979371	wdi
MLT	2014	26012.0153054014	wdi
MLT	2017	27283.5447293274	wdi
MLT	2019	32549.90473252206	wdi-imputed
NLD	1977	9166.80822116386	wdi
NLD	1979	12798.5432066175	wdi
NLD	1981	11520.4478716306	wdi
NLD	1982	11072.6584776218	wdi
NLD	1984	9977.16021206777	wdi
NLD	1986	13783.8501214809	wdi
NLD	1989	17397.6916685628	wdi
NLD	1994	24646.3143017558	wdi
NLD	1998	27885.8083823465	wdi
NLD	1999	28263.0967106802	wdi
NLD	2002	29204.0398310254	wdi
NLD	2003	35672.2065978453	wdi
NLD	2004	40362.3947822685	wdi
NLD	2006	44863.3506314287	wdi
NLD	2009	52514.0271165323	wdi
NLD	2010	50950.0343435181	wdi
NLD	2012	50073.0056559308	wdi
NLD	2014	52830.1742328055	wdi
NLD	2017	48554.9922761756	wdi
NLD	2019	56311.16885102026	wdi-imputed
POL	2001	4981.1986188017	wdi
POL	2004	6681.17881781198	wdi
POL	2005	8021.00365533726	wdi
POL	2007	11255.4366982999	wdi
POL	2009	11527.5932279825	wdi
POL	2011	13893.509259001	wdi
POL	2014	14347.9145754456	wdi
POL	2015	12572.3078809992	wdi
POL	2019	16411.587695864993	wdi-imputed
PRT	1985	2705.19294328131	wdi
PRT	1987	4803.86602452833	wdi
PRT	1989	6056.38105317089	wdi
PRT	1991	8958.98538874788	wdi
PRT	1994	9977.31987279509	wdi
PRT	1995	11781.3618502221	wdi
PRT	1999	12471.0793640754	wdi
PRT	2002	12875.3207922585	wdi
PRT	2004	18031.0004215768	wdi
PRT	2005	18773.1253616354	wdi
PRT	2009	23059.7974457294	wdi
PRT	2011	23186.9131283278	wdi
PRT	2014	22074.3007634216	wdi
PRT	2015	19242.3664710981	wdi
PRT	2019	25041.162133090987	wdi-imputed
ROU	2004	3494.94451718304	wdi
ROU	2007	8360.16632132485	wdi
ROU	2008	10435.0439841037	wdi
ROU	2009	8548.11867218639	wdi
ROU	2012	8535.0468756267	wdi
ROU	2014	10026.9735781794	wdi
ROU	2016	9567.0977819133	wdi
ROU	2019	13663.65987664807	wdi-imputed
SVK	2002	6533.55321303732	wdi
SVK	2004	10671.8218610632	wdi
SVK	2006	13159.7594413964	wdi
SVK	2009	16531.6705140706	wdi
SVK	2010	16727.2913264619	wdi
SVK	2012	17460.0468093549	wdi
SVK	2014	18670.9301711227	wdi
SVK	2016	16505.9980625369	wdi
SVK	2019	23012.07088543408	wdi-imputed
SVN	2000	10201.3035366727	wdi
SVN	2004	17233.1385611279	wdi
SVN	2008	27483.3369524581	wdi
SVN	2009	24694.2305557835	wdi
SVN	2011	25095.1326282071	wdi
SVN	2014	24214.9220717273	wdi
SVN	2018	26123.9738694646	wdi
SVN	2019	27964.752064542678	wdi-imputed
SWE	1994	25883.0158194817	wdi
SWE	1995	30066.2251636804	wdi
SWE	1998	30382.6547219329	wdi
SWE	1999	30740.211173941	wdi
SWE	2002	29729.7193435303	wdi
SWE	2004	42544.4104669386	wdi
SWE	2006	46277.5767773402	wdi
SWE	2009	46793.9441559611	wdi
SWE	2010	52817.441365794	wdi
SWE	2014	59843.5191685082	wdi
SWE	2018	54608.3602546906	wdi
SWE	2019	56422.866573438085	wdi-imputed
