iso3c	year	pop
AUT	2019	NA
AUT	2018	8847037
AUT	2017	8797566
AUT	2016	8736668
AUT	2015	8642699
AUT	2014	8546356
AUT	2013	8479823
AUT	2012	8429991
AUT	2011	8391643
AUT	2010	8363404
AUT	2009	8343323
AUT	2008	8321496
AUT	2007	8295487
AUT	2006	8268641
AUT	2005	8227829
AUT	2004	8171966
AUT	2003	8121423
AUT	2002	8081957
AUT	2001	8042293
AUT	2000	8011566
AUT	1999	7992324
AUT	1998	7976789
AUT	1997	7968041
AUT	1996	7959017
AUT	1995	7948278
AUT	1994	7936118
AUT	1993	7905633
AUT	1992	7840709
AUT	1991	7754891
AUT	1990	7677850
AUT	1989	7619567
AUT	1988	7585317
AUT	1987	7574586
AUT	1986	7569794
AUT	1985	7564985
AUT	1984	7561434
AUT	1983	7561910
AUT	1982	7574140
AUT	1981	7568710
AUT	1980	7549433
AUT	1979	7549425
AUT	1978	7562305
AUT	1977	7568430
AUT	1976	7565525
BEL	2019	NA
BEL	2018	11422068
BEL	2017	11375158
BEL	2016	11331422
BEL	2015	11274196
BEL	2014	11209057
BEL	2013	11159407
BEL	2012	11106932
BEL	2011	11038264
BEL	2010	10895586
BEL	2009	10796493
BEL	2008	10709973
BEL	2007	10625700
BEL	2006	10547958
BEL	2005	10478617
BEL	2004	10421137
BEL	2003	10376133
BEL	2002	10332785
BEL	2001	10286570
BEL	2000	10251250
BEL	1999	10226419
BEL	1998	10203008
BEL	1997	10181245
BEL	1996	10156637
BEL	1995	10136811
BEL	1994	10115603
BEL	1993	10084475
BEL	1992	10045158
BEL	1991	10004486
BEL	1990	9967379
BEL	1989	9937697
BEL	1988	9901664
BEL	1987	9870234
BEL	1986	9861823
BEL	1985	9858308
BEL	1984	9855372
BEL	1983	9855520
BEL	1982	9856303
BEL	1981	9858982
BEL	1980	9859242
BEL	1979	9848382
BEL	1978	9839534
BEL	1977	9830358
BEL	1976	9818227
BGR	2019	NA
BGR	2018	7024216
BGR	2017	7075947
BGR	2016	7127822
BGR	2015	7177991
BGR	2014	7223938
BGR	2013	7265115
BGR	2012	7305888
BGR	2011	7348328
BGR	2010	7395599
BGR	2009	7444443
BGR	2008	7492561
BGR	2007	7545338
BGR	2006	7601022
BGR	2005	7658972
BGR	2004	7716860
BGR	2003	7775327
BGR	2002	7837161
BGR	2001	8009142
BGR	2000	8170172
BGR	1999	8210624
BGR	1998	8256786
BGR	1997	8312068
BGR	1996	8362826
BGR	1995	8406067
BGR	1994	8443591
BGR	1993	8472313
BGR	1992	8540164
BGR	1991	8632367
BGR	1990	8718289
BGR	1989	8876972
BGR	1988	8981446
BGR	1987	8971359
BGR	1986	8958171
BGR	1985	8960547
BGR	1984	8960679
BGR	1983	8939738
BGR	1982	8917457
BGR	1981	8891117
BGR	1980	8861535
BGR	1979	8825940
BGR	1978	8814032
BGR	1977	8804183
BGR	1976	8758599
CYP	2019	NA
CYP	2018	1189265
CYP	2017	1179680
CYP	2016	1170187
CYP	2015	1160985
CYP	2014	1152285
CYP	2013	1143866
CYP	2012	1135046
CYP	2011	1124833
CYP	2010	1112612
CYP	2009	1098083
CYP	2008	1081563
CYP	2007	1063713
CYP	2006	1045507
CYP	2005	1027662
CYP	2004	1010408
CYP	2003	993563
CYP	2002	976964
CYP	2001	960276
CYP	2000	943290
CYP	1999	926046
CYP	1998	908702
CYP	1997	891190
CYP	1996	873423
CYP	1995	855383
CYP	1994	837110
CYP	1993	818746
CYP	1992	800611
CYP	1991	783124
CYP	1990	766615
CYP	1989	751047
CYP	1988	736474
CYP	1987	723376
CYP	1986	712340
CYP	1985	703685
CYP	1984	697714
CYP	1983	694077
CYP	1982	691702
CYP	1981	689173
CYP	1980	685405
CYP	1979	680005
CYP	1978	673247
CYP	1977	665525
CYP	1976	657527
CZE	2019	NA
CZE	2018	10625695
CZE	2017	10594438
CZE	2016	10566332
CZE	2015	10546059
CZE	2014	10525347
CZE	2013	10514272
CZE	2012	10510785
CZE	2011	10496088
CZE	2010	10474410
CZE	2009	10443936
CZE	2008	10384603
CZE	2007	10298828
CZE	2006	10238905
CZE	2005	10211216
CZE	2004	10197101
CZE	2003	10193998
CZE	2002	10196916
CZE	2001	10216605
CZE	2000	10255063
CZE	1999	10283860
CZE	1998	10294373
CZE	1997	10304131
CZE	1996	10315241
CZE	1995	10327253
CZE	1994	10333587
CZE	1993	10329855
CZE	1992	10319123
CZE	1991	10308578
CZE	1990	10333355
CZE	1989	10361068
CZE	1988	10355276
CZE	1987	10347318
CZE	1986	10342227
CZE	1985	10337118
CZE	1984	10330213
CZE	1983	10323856
CZE	1982	10314826
CZE	1981	10300591
CZE	1980	10304193
CZE	1979	10292341
CZE	1978	10242098
CZE	1977	10186755
CZE	1976	10125939
DEU	2019	NA
DEU	2018	82927922
DEU	2017	82657002
DEU	2016	82348669
DEU	2015	81686611
DEU	2014	80982500
DEU	2013	80645605
DEU	2012	80425823
DEU	2011	80274983
DEU	2010	81776930
DEU	2009	81902307
DEU	2008	82110097
DEU	2007	82266372
DEU	2006	82376451
DEU	2005	82469422
DEU	2004	82516260
DEU	2003	82534176
DEU	2002	82488495
DEU	2001	82349925
DEU	2000	82211508
DEU	1999	82100243
DEU	1998	82047195
DEU	1997	82034771
DEU	1996	81914831
DEU	1995	81678051
DEU	1994	81438348
DEU	1993	81156363
DEU	1992	80624598
DEU	1991	80013896
DEU	1990	79433029
DEU	1989	78751283
DEU	1988	78144619
DEU	1987	77839920
DEU	1986	77720436
DEU	1985	77684873
DEU	1984	77858685
DEU	1983	78128282
DEU	1982	78333366
DEU	1981	78407907
DEU	1980	78288576
DEU	1979	78126350
DEU	1978	78091820
DEU	1977	78159814
DEU	1976	78336950
DNK	2019	NA
DNK	2018	5797446
DNK	2017	5764980
DNK	2016	5728010
DNK	2015	5683483
DNK	2014	5643475
DNK	2013	5614932
DNK	2012	5591572
DNK	2011	5570572
DNK	2010	5547683
DNK	2009	5523095
DNK	2008	5493621
DNK	2007	5461438
DNK	2006	5437272
DNK	2005	5419432
DNK	2004	5404523
DNK	2003	5390574
DNK	2002	5375931
DNK	2001	5358783
DNK	2000	5339616
DNK	1999	5321799
DNK	1998	5304219
DNK	1997	5284991
DNK	1996	5263074
DNK	1995	5233373
DNK	1994	5206180
DNK	1993	5188628
DNK	1992	5171370
DNK	1991	5154298
DNK	1990	5140939
DNK	1989	5132594
DNK	1988	5129516
DNK	1987	5127024
DNK	1986	5120534
DNK	1985	5113691
DNK	1984	5111619
DNK	1983	5114297
DNK	1982	5117810
DNK	1981	5121572
DNK	1980	5123027
DNK	1979	5116801
DNK	1978	5104248
DNK	1977	5088419
DNK	1976	5072596
EST	2019	NA
EST	2018	1320884
EST	2017	1317384
EST	2016	1315790
EST	2015	1315407
EST	2014	1314545
EST	2013	1317997
EST	2012	1322696
EST	2011	1327439
EST	2010	1331475
EST	2009	1334515
EST	2008	1337090
EST	2007	1340680
EST	2006	1346810
EST	2005	1354775
EST	2004	1362550
EST	2003	1370720
EST	2002	1379350
EST	2001	1388115
EST	2000	1396985
EST	1999	1390244
EST	1998	1386156
EST	1997	1399535
EST	1996	1415594
EST	1995	1436634
EST	1994	1462514
EST	1993	1494128
EST	1992	1533091
EST	1991	1561314
EST	1990	1569174
EST	1989	1568131
EST	1988	1561900
EST	1987	1552221
EST	1986	1540190
EST	1985	1528781
EST	1984	1518617
EST	1983	1508745
EST	1982	1498414
EST	1981	1487666
EST	1980	1477219
EST	1979	1468333
EST	1978	1460188
EST	1977	1450211
EST	1976	1439576
ESP	2019	NA
ESP	2018	46723749
ESP	2017	46593236
ESP	2016	46483569
ESP	2015	46444832
ESP	2014	46480882
ESP	2013	46620045
ESP	2012	46773055
ESP	2011	46742697
ESP	2010	46576897
ESP	2009	46362946
ESP	2008	45954106
ESP	2007	45226803
ESP	2006	44397319
ESP	2005	43653155
ESP	2004	42921895
ESP	2003	42187645
ESP	2002	41431558
ESP	2001	40850412
ESP	2000	40567864
ESP	1999	40386875
ESP	1998	40223509
ESP	1997	40057389
ESP	1996	39889852
ESP	1995	39724050
ESP	1994	39549108
ESP	1993	39361262
ESP	1992	39157685
ESP	1991	38966376
ESP	1990	38867322
ESP	1989	38827764
ESP	1988	38766939
ESP	1987	38684815
ESP	1986	38584624
ESP	1985	38469512
ESP	1984	38330364
ESP	1983	38171525
ESP	1982	37986012
ESP	1981	37758631
ESP	1980	37491165
ESP	1979	37191330
ESP	1978	36864898
ESP	1977	36511638
ESP	1976	36137812
FIN	2019	NA
FIN	2018	5518050
FIN	2017	5508214
FIN	2016	5495303
FIN	2015	5479531
FIN	2014	5461512
FIN	2013	5438972
FIN	2012	5413971
FIN	2011	5388272
FIN	2010	5363352
FIN	2009	5338871
FIN	2008	5313399
FIN	2007	5288720
FIN	2006	5266268
FIN	2005	5246096
FIN	2004	5228172
FIN	2003	5213014
FIN	2002	5200598
FIN	2001	5188008
FIN	2000	5176209
FIN	1999	5165474
FIN	1998	5153498
FIN	1997	5139835
FIN	1996	5124573
FIN	1995	5107790
FIN	1994	5088333
FIN	1993	5066447
FIN	1992	5041992
FIN	1991	5013740
FIN	1990	4986431
FIN	1989	4964371
FIN	1988	4946481
FIN	1987	4932123
FIN	1986	4918154
FIN	1985	4902206
FIN	1984	4881803
FIN	1983	4855787
FIN	1982	4826933
FIN	1981	4799964
FIN	1980	4779535
FIN	1979	4764690
FIN	1978	4752528
FIN	1977	4738902
FIN	1976	4725664
FRA	2019	NA
FRA	2018	66987244
FRA	2017	66865144
FRA	2016	66859768
FRA	2015	66593366
FRA	2014	66316100
FRA	2013	65998687
FRA	2012	65659809
FRA	2011	65342780
FRA	2010	65027507
FRA	2009	64707040
FRA	2008	64374984
FRA	2007	64016225
FRA	2006	63621381
FRA	2005	63179351
FRA	2004	62704895
FRA	2003	62244886
FRA	2002	61805267
FRA	2001	61357430
FRA	2000	60912500
FRA	1999	60496718
FRA	1998	60186288
FRA	1997	59964851
FRA	1996	59753100
FRA	1995	59541899
FRA	1994	59327192
FRA	1993	59106768
FRA	1992	58851217
FRA	1991	58559311
FRA	1990	58235697
FRA	1989	57940212
FRA	1988	57627105
FRA	1987	57302663
FRA	1986	56976123
FRA	1985	56654696
FRA	1984	56337666
FRA	1983	56023770
FRA	1982	55718933
FRA	1981	55430296
FRA	1980	55161527
FRA	1979	54917118
FRA	1978	54691851
FRA	1977	54467702
FRA	1976	54220022
GBR	2019	NA
GBR	2018	66488991
GBR	2017	66058859
GBR	2016	65595565
GBR	2015	65128861
GBR	2014	64613160
GBR	2013	64128226
GBR	2012	63700300
GBR	2011	63258918
GBR	2010	62766365
GBR	2009	62276270
GBR	2008	61806995
GBR	2007	61322463
GBR	2006	60846820
GBR	2005	60401206
GBR	2004	59987905
GBR	2003	59647577
GBR	2002	59370479
GBR	2001	59119673
GBR	2000	58892514
GBR	1999	58682466
GBR	1998	58487141
GBR	1997	58316954
GBR	1996	58166950
GBR	1995	58019030
GBR	1994	57865745
GBR	1993	57718614
GBR	1992	57580402
GBR	1991	57424897
GBR	1990	57247586
GBR	1989	57076711
GBR	1988	56928327
GBR	1987	56802050
GBR	1986	56681396
GBR	1985	56550268
GBR	1984	56422072
GBR	1983	56332848
GBR	1982	56313641
GBR	1981	56333829
GBR	1980	56314216
GBR	1979	56246951
GBR	1978	56196504
GBR	1977	56193492
GBR	1976	56211968
GRC	2019	NA
GRC	2018	10727668
GRC	2017	10754679
GRC	2016	10775971
GRC	2015	10820883
GRC	2014	10892413
GRC	2013	10965211
GRC	2012	11045011
GRC	2011	11104899
GRC	2010	11121341
GRC	2009	11107017
GRC	2008	11077841
GRC	2007	11048473
GRC	2006	11020362
GRC	2005	10987314
GRC	2004	10955141
GRC	2003	10928070
GRC	2002	10902022
GRC	2001	10862132
GRC	2000	10805808
GRC	1999	10761698
GRC	1998	10720509
GRC	1997	10661259
GRC	1996	10608800
GRC	1995	10562153
GRC	1994	10512922
GRC	1993	10460415
GRC	1992	10399061
GRC	1991	10319927
GRC	1990	10196792
GRC	1989	10089498
GRC	1988	10036983
GRC	1987	10000595
GRC	1986	9967213
GRC	1985	9934300
GRC	1984	9895801
GRC	1983	9846627
GRC	1982	9789513
GRC	1981	9729350
GRC	1980	9642505
GRC	1979	9548258
GRC	1978	9429959
GRC	1977	9308479
GRC	1976	9188150
HRV	2019	NA
HRV	2018	4089400
HRV	2017	4124531
HRV	2016	4174349
HRV	2015	4203604
HRV	2014	4238389
HRV	2013	4255689
HRV	2012	4267558
HRV	2011	4280622
HRV	2010	4295427
HRV	2009	4305181
HRV	2008	4309705
HRV	2007	4310217
HRV	2006	4311159
HRV	2005	4310145
HRV	2004	4304600
HRV	2003	4303399
HRV	2002	4302174
HRV	2001	4299642
HRV	2000	4468302
HRV	1999	4512597
HRV	1998	4532135
HRV	1997	4534920
HRV	1996	4557097
HRV	1995	4620030
HRV	1994	4652024
HRV	1993	4600463
HRV	1992	4575818
HRV	1991	4689022
HRV	1990	4777368
HRV	1989	4767260
HRV	1988	4755207
HRV	1987	4739745
HRV	1986	4721446
HRV	1985	4701417
HRV	1984	4680285
HRV	1983	4658254
HRV	1982	4634234
HRV	1981	4611509
HRV	1980	4599782
HRV	1979	4594778
HRV	1978	4581085
HRV	1977	4559571
HRV	1976	4535934
HUN	2019	NA
HUN	2018	9768785
HUN	2017	9787966
HUN	2016	9814023
HUN	2015	9843028
HUN	2014	9866468
HUN	2013	9893082
HUN	2012	9920362
HUN	2011	9971727
HUN	2010	10000023
HUN	2009	10022650
HUN	2008	10038188
HUN	2007	10055780
HUN	2006	10071370
HUN	2005	10087065
HUN	2004	10107146
HUN	2003	10129552
HUN	2002	10158608
HUN	2001	10187576
HUN	2000	10210971
HUN	1999	10237530
HUN	1998	10266570
HUN	1997	10290486
HUN	1996	10311238
HUN	1995	10328965
HUN	1994	10343355
HUN	1993	10357523
HUN	1992	10369341
HUN	1991	10373400
HUN	1990	10373988
HUN	1989	10481719
HUN	1988	10596487
HUN	1987	10612741
HUN	1986	10630564
HUN	1985	10648713
HUN	1984	10668095
HUN	1983	10689463
HUN	1982	10705535
HUN	1981	10711848
HUN	1980	10711122
HUN	1979	10704152
HUN	1978	10684822
HUN	1977	10648031
HUN	1976	10598677
IRL	2019	NA
IRL	2018	4853506
IRL	2017	4807388
IRL	2016	4755335
IRL	2015	4701957
IRL	2014	4657740
IRL	2013	4623816
IRL	2012	4599533
IRL	2011	4580084
IRL	2010	4560155
IRL	2009	4535375
IRL	2008	4489544
IRL	2007	4398942
IRL	2006	4273591
IRL	2005	4159914
IRL	2004	4070262
IRL	2003	3996521
IRL	2002	3931947
IRL	2001	3866243
IRL	2000	3805174
IRL	1999	3754786
IRL	1998	3712696
IRL	1997	3674171
IRL	1996	3637510
IRL	1995	3608841
IRL	1994	3590386
IRL	1993	3576261
IRL	1992	3558430
IRL	1991	3534235
IRL	1990	3513974
IRL	1989	3511009
IRL	1988	3524949
IRL	1987	3540057
IRL	1986	3539690
IRL	1985	3538082
IRL	1984	3532423
IRL	1983	3510600
IRL	1982	3485800
IRL	1981	3453000
IRL	1980	3412800
IRL	1979	3373750
IRL	1978	3329100
IRL	1977	3282200
IRL	1976	3238050
ITA	2019	NA
ITA	2018	60431283
ITA	2017	60536709
ITA	2016	60627498
ITA	2015	60730582
ITA	2014	60789140
ITA	2013	60233948
ITA	2012	59539717
ITA	2011	59379449
ITA	2010	59277417
ITA	2009	59095365
ITA	2008	58826731
ITA	2007	58438310
ITA	2006	58143979
ITA	2005	57969484
ITA	2004	57685327
ITA	2003	57313203
ITA	2002	57059007
ITA	2001	56974100
ITA	2000	56942108
ITA	1999	56916317
ITA	1998	56906744
ITA	1997	56890372
ITA	1996	56860281
ITA	1995	56844303
ITA	1994	56843400
ITA	1993	56831821
ITA	1992	56797087
ITA	1991	56758521
ITA	1990	56719240
ITA	1989	56671781
ITA	1988	56629288
ITA	1987	56601931
ITA	1986	56596155
ITA	1985	56593071
ITA	1984	56576718
ITA	1983	56564074
ITA	1982	56543548
ITA	1981	56501675
ITA	1980	56433883
ITA	1979	56317749
ITA	1978	56155143
ITA	1977	55955411
ITA	1976	55718260
LTU	2019	NA
LTU	2018	2789533
LTU	2017	2828403
LTU	2016	2868231
LTU	2015	2904910
LTU	2014	2932367
LTU	2013	2957689
LTU	2012	2987773
LTU	2011	3028115
LTU	2010	3097282
LTU	2009	3162916
LTU	2008	3198231
LTU	2007	3231294
LTU	2006	3269909
LTU	2005	3322528
LTU	2004	3377075
LTU	2003	3415213
LTU	2002	3443067
LTU	2001	3470818
LTU	2000	3499536
LTU	1999	3524238
LTU	1998	3549331
LTU	1997	3575137
LTU	1996	3601613
LTU	1995	3629102
LTU	1994	3657144
LTU	1993	3682613
LTU	1992	3700114
LTU	1991	3704134
LTU	1990	3697838
LTU	1989	3684255
LTU	1988	3655049
LTU	1987	3616367
LTU	1986	3578914
LTU	1985	3544543
LTU	1984	3514205
LTU	1983	3485192
LTU	1982	3457179
LTU	1981	3432947
LTU	1980	3413202
LTU	1979	3397842
LTU	1978	3379514
LTU	1977	3355036
LTU	1976	3328664
LUX	2019	NA
LUX	2018	607728
LUX	2017	596336
LUX	2016	582014
LUX	2015	569604
LUX	2014	556319
LUX	2013	543360
LUX	2012	530946
LUX	2011	518347
LUX	2010	506953
LUX	2009	497783
LUX	2008	488650
LUX	2007	479993
LUX	2006	472637
LUX	2005	465158
LUX	2004	458095
LUX	2003	451630
LUX	2002	446175
LUX	2001	441525
LUX	2000	436300
LUX	1999	430475
LUX	1998	424700
LUX	1997	419450
LUX	1996	414225
LUX	1995	408625
LUX	1994	402925
LUX	1993	397475
LUX	1992	392175
LUX	1991	387000
LUX	1990	381850
LUX	1989	377100
LUX	1988	373450
LUX	1987	370750
LUX	1986	368355
LUX	1985	366706
LUX	1984	365998
LUX	1983	365622
LUX	1982	365525
LUX	1981	365225
LUX	1980	364150
LUX	1979	362856
LUX	1978	362007
LUX	1977	361358
LUX	1976	360731
LVA	2019	NA
LVA	2018	1926542
LVA	2017	1942248
LVA	2016	1959537
LVA	2015	1977527
LVA	2014	1993782
LVA	2013	2012647
LVA	2012	2034319
LVA	2011	2059709
LVA	2010	2097555
LVA	2009	2141669
LVA	2008	2177322
LVA	2007	2200325
LVA	2006	2218357
LVA	2005	2238799
LVA	2004	2263122
LVA	2003	2287955
LVA	2002	2310173
LVA	2001	2337170
LVA	2000	2367550
LVA	1999	2390482
LVA	1998	2410019
LVA	1997	2432851
LVA	1996	2457222
LVA	1995	2485056
LVA	1994	2520742
LVA	1993	2563290
LVA	1992	2614338
LVA	1991	2650581
LVA	1990	2663151
LVA	1989	2666955
LVA	1988	2653434
LVA	1987	2626583
LVA	1986	2599892
LVA	1985	2578873
LVA	1984	2562047
LVA	1983	2546011
LVA	1982	2531080
LVA	1981	2519421
LVA	1980	2511701
LVA	1979	2505953
LVA	1978	2497921
LVA	1977	2485073
LVA	1976	2470989
MLT	2019	NA
MLT	2018	483530
MLT	2017	467999
MLT	2016	455356
MLT	2015	445053
MLT	2014	434558
MLT	2013	425967
MLT	2012	420028
MLT	2011	416268
MLT	2010	414508
MLT	2009	412477
MLT	2008	409379
MLT	2007	406724
MLT	2006	405308
MLT	2005	403834
MLT	2004	401268
MLT	2003	398582
MLT	2002	395969
MLT	2001	393028
MLT	2000	390087
MLT	1999	387578
MLT	1998	385287
MLT	1997	382791
MLT	1996	379905
MLT	1995	377419
MLT	1994	374797
MLT	1993	371308
MLT	1992	367618
MLT	1991	363845
MLT	1990	354170
MLT	1989	350722
MLT	1988	347325
MLT	1987	344485
MLT	1986	342121
MLT	1985	336452
MLT	1984	330593
MLT	1983	330524
MLT	1982	325898
MLT	1981	318982
MLT	1980	316645
MLT	1979	313342
MLT	1978	310182
MLT	1977	306970
MLT	1976	305774
NLD	2019	NA
NLD	2018	17231017
NLD	2017	17131296
NLD	2016	17030314
NLD	2015	16939923
NLD	2014	16865008
NLD	2013	16804432
NLD	2012	16754962
NLD	2011	16693074
NLD	2010	16615394
NLD	2009	16530388
NLD	2008	16445593
NLD	2007	16381696
NLD	2006	16346101
NLD	2005	16319868
NLD	2004	16281779
NLD	2003	16225302
NLD	2002	16148929
NLD	2001	16046180
NLD	2000	15925513
NLD	1999	15812088
NLD	1998	15707209
NLD	1997	15610650
NLD	1996	15530498
NLD	1995	15459006
NLD	1994	15382838
NLD	1993	15290368
NLD	1992	15184166
NLD	1991	15069798
NLD	1990	14951510
NLD	1989	14848907
NLD	1988	14760094
NLD	1987	14665037
NLD	1986	14572278
NLD	1985	14491632
NLD	1984	14424211
NLD	1983	14367070
NLD	1982	14312690
NLD	1981	14247208
NLD	1980	14149800
NLD	1979	14038270
NLD	1978	13941700
NLD	1977	13856185
NLD	1976	13774037
POL	2019	NA
POL	2018	37978548
POL	2017	37974826
POL	2016	37970087
POL	2015	37986412
POL	2014	38011735
POL	2013	38040196
POL	2012	38063164
POL	2011	38063255
POL	2010	38042794
POL	2009	38151603
POL	2008	38125759
POL	2007	38120560
POL	2006	38141267
POL	2005	38165445
POL	2004	38182222
POL	2003	38204570
POL	2002	38230364
POL	2001	38248076
POL	2000	38258629
POL	1999	38660271
POL	1998	38663481
POL	1997	38649660
POL	1996	38624370
POL	1995	38594998
POL	1994	38542652
POL	1993	38461408
POL	1992	38363667
POL	1991	38246193
POL	1990	38110782
POL	1989	37961529
POL	1988	37824487
POL	1987	37668045
POL	1986	37456119
POL	1985	37201885
POL	1984	36904134
POL	1983	36571808
POL	1982	36230481
POL	1981	35898587
POL	1980	35574150
POL	1979	35247217
POL	1978	34965600
POL	1977	34689050
POL	1976	34356300
PRT	2019	NA
PRT	2018	10281762
PRT	2017	10300300
PRT	2016	10325452
PRT	2015	10358076
PRT	2014	10401062
PRT	2013	10457295
PRT	2012	10514844
PRT	2011	10557560
PRT	2010	10573100
PRT	2009	10568247
PRT	2008	10558177
PRT	2007	10542964
PRT	2006	10522288
PRT	2005	10503330
PRT	2004	10483861
PRT	2003	10458821
PRT	2002	10419631
PRT	2001	10362722
PRT	2000	10289898
PRT	1999	10217828
PRT	1998	10160196
PRT	1997	10108977
PRT	1996	10063945
PRT	1995	10026176
PRT	1994	9991525
PRT	1993	9964675
PRT	1992	9952494
PRT	1991	9960235
PRT	1990	9983218
PRT	1989	10005000
PRT	1988	10019610
PRT	1987	10030031
PRT	1986	10032734
PRT	1985	10023613
PRT	1984	9996232
PRT	1983	9957865
PRT	1982	9911771
PRT	1981	9851362
PRT	1980	9766312
PRT	1979	9661265
PRT	1978	9558250
PRT	1977	9455675
PRT	1976	9355810
ROU	2019	NA
ROU	2018	19473936
ROU	2017	19587491
ROU	2016	19702332
ROU	2015	19815481
ROU	2014	19908979
ROU	2013	19983693
ROU	2012	20058035
ROU	2011	20147528
ROU	2010	20246871
ROU	2009	20367487
ROU	2008	20537875
ROU	2007	20882982
ROU	2006	21193760
ROU	2005	21319685
ROU	2004	21451748
ROU	2003	21574326
ROU	2002	21730496
ROU	2001	22131970
ROU	2000	22442971
ROU	1999	22472040
ROU	1998	22507344
ROU	1997	22553978
ROU	1996	22619004
ROU	1995	22684270
ROU	1994	22730211
ROU	1993	22763280
ROU	1992	22794284
ROU	1991	23001155
ROU	1990	23201835
ROU	1989	23161458
ROU	1988	23057662
ROU	1987	22949430
ROU	1986	22859269
ROU	1985	22755427
ROU	1984	22655940
ROU	1983	22588790
ROU	1982	22515389
ROU	1981	22415169
ROU	1980	22242653
ROU	1979	22090488
ROU	1978	21951464
ROU	1977	21756096
ROU	1976	21551634
SWE	2019	NA
SWE	2018	10183175
SWE	2017	10057698
SWE	2016	9923085
SWE	2015	9799186
SWE	2014	9696110
SWE	2013	9600379
SWE	2012	9519374
SWE	2011	9449213
SWE	2010	9378126
SWE	2009	9298515
SWE	2008	9219637
SWE	2007	9148092
SWE	2006	9080505
SWE	2005	9029572
SWE	2004	8993531
SWE	2003	8958229
SWE	2002	8924958
SWE	2001	8895960
SWE	2000	8872109
SWE	1999	8857874
SWE	1998	8850974
SWE	1997	8846062
SWE	1996	8840998
SWE	1995	8826939
SWE	1994	8780745
SWE	1993	8718561
SWE	1992	8668067
SWE	1991	8617375
SWE	1990	8558835
SWE	1989	8492964
SWE	1988	8436489
SWE	1987	8397804
SWE	1986	8369829
SWE	1985	8350386
SWE	1984	8336605
SWE	1983	8329033
SWE	1982	8325263
SWE	1981	8320503
SWE	1980	8310531
SWE	1979	8293678
SWE	1978	8275599
SWE	1977	8251540
SWE	1976	8222286
SVN	2019	NA
SVN	2018	2067372
SVN	2017	2066388
SVN	2016	2065042
SVN	2015	2063531
SVN	2014	2061980
SVN	2013	2059953
SVN	2012	2057159
SVN	2011	2052843
SVN	2010	2048583
SVN	2009	2039669
SVN	2008	2021316
SVN	2007	2018122
SVN	2006	2006868
SVN	2005	2000474
SVN	2004	1997012
SVN	2003	1995733
SVN	2002	1994530
SVN	2001	1992060
SVN	2000	1988925
SVN	1999	1983045
SVN	1998	1981629
SVN	1997	1985956
SVN	1996	1988628
SVN	1995	1989872
SVN	1994	1989443
SVN	1993	1991746
SVN	1992	1996498
SVN	1991	1999429
SVN	1990	1998161
SVN	1989	1996351
SVN	1988	1995196
SVN	1987	1989776
SVN	1986	1965964
SVN	1985	1941641
SVN	1984	1932154
SVN	1983	1922321
SVN	1982	1910334
SVN	1981	1906531
SVN	1980	1901315
SVN	1979	1882599
SVN	1978	1862548
SVN	1977	1842377
SVN	1976	1820249
SVK	2019	NA
SVK	2018	5447011
SVK	2017	5439232
SVK	2016	5430798
SVK	2015	5423801
SVK	2014	5418649
SVK	2013	5413393
SVK	2012	5407579
SVK	2011	5398384
SVK	2010	5391428
SVK	2009	5386406
SVK	2008	5379233
SVK	2007	5374622
SVK	2006	5373054
SVK	2005	5372807
SVK	2004	5372280
SVK	2003	5373374
SVK	2002	5376912
SVK	2001	5378867
SVK	2000	5388720
SVK	1999	5396020
SVK	1998	5390516
SVK	1997	5383291
SVK	1996	5373361
SVK	1995	5361999
SVK	1994	5346331
SVK	1993	5325305
SVK	1992	5305016
SVK	1991	5303294
SVK	1990	5299187
SVK	1989	5275942
SVK	1988	5250596
SVK	1987	5222840
SVK	1986	5193838
SVK	1985	5161768
SVK	1984	5127097
SVK	1983	5091971
SVK	1982	5055099
SVK	1981	5016105
SVK	1980	4979815
SVK	1979	4938973
SVK	1978	4890125
SVK	1977	4840501
SVK	1976	4789507
